避難所ID,自治体コード,名称,住所,x座標,y座標,避難所面積,収容可能人数,電話番号,付加情報
2810100001,28101,東灘小学校,神戸市東灘区深江北町2-4-1,135.2944292,34.7248161,300,39,078-411-0556,土砂災害：○，洪水：○，津波：× 《津波時》国道2号より山側へ避難すること
2810100002,28101,本庄小学校,神戸市東灘区青木4-4-1,135.2888714,34.7211525,300,39,078-411-0339,土砂災害：○，洪水：○，津波：× 《津波時》国道2号より山側へ避難すること
2810100003,28101,本庄中学校,神戸市東灘区青木4-4-2,135.2875439,34.7203025,500,65,078-411-2261,土砂災害：○，洪水：○，津波：× 《津波時》国道2号より山側へ避難すること
2810100004,28101,東灘高校,神戸市東灘区深江浜町50,135.3010486,34.7099789,700,91,078-452-9600,土砂災害：○，洪水：○，津波：× 《津波時》国道2号より山側へ避難すること
2810100005,28101,神戸大学海事科学部,神戸市東灘区深江南町5-1-1,135.2883578,34.7187444,200,26,078-431-6200,土砂災害：○，洪水：○，津波：× 《津波時》国道2号より山側へ避難すること
2810100006,28101,魚崎小学校,神戸市東灘区魚崎中町4-10-8,135.271257,34.714966,300,39,078-411-6196,土砂災害：○，洪水：○，津波：○
2810100007,28101,灘中・高校,神戸市東灘区魚崎北町8-5-1,135.2684539,34.7191636,700,91,078-411-7234,土砂災害：○，洪水：○，津波：○
2810100008,28101,本山第一小学校,神戸市東灘区本山北町3-10-1,135.2789056,34.7289433,300,39,078-411-1974,土砂災害：○，洪水：○，津波：○
2810100009,28101,甲南女子中・高校,神戸市東灘区森北町5-6-1,135.2917292,34.7349206,700,91,078-411-2531,土砂災害：○，洪水：○，津波：○
2810100010,28101,甲南女子大学,神戸市東灘区森北町6-2-23,135.287471,34.734802,200,26,078-413-3264,土砂災害：○，洪水：○，津波：○
2810100011,28101,神戸薬科大学,神戸市東灘区本山北町4-19-1,135.2832689,34.733115,200,26,078-453-0031,土砂災害：△，洪水：○，津波：○ 《土砂災害時》正門が土砂災害警戒区域内にあるので注意が必要。早めに避難すること
2810100012,28101,本山第二小学校,神戸市東灘区西岡本1-3-1,135.2695758,34.7253269,300,39,078-431-1441,土砂災害：○，洪水：○，津波：○
2810100013,28101,本山中学校,神戸市東灘区岡本3-3-1,135.2709397,34.7256325,500,65,078-411-3742,土砂災害：○，洪水：○，津波：○
2810100014,28101,甲南大学,神戸市東灘区岡本8-9-1,135.2679925,34.729734,200,26,078-431-4341,土砂災害：△，洪水：○，津波：○ 《土砂災害時》土砂災害警戒区域外（本山第二小学校）へ避難すること。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可
2810100015,28101,本山第三小学校,神戸市東灘区本山中町1-2-35,135.2864103,34.7280906,300,39,078-411-0005,土砂災害：○，洪水：○，津波：○
2810100016,28101,住吉小学校,神戸市東灘区住吉東町4-1-31,135.264485,34.7175747,300,39,078-851-2887,土砂災害：○，洪水：×，津波：○ 《洪水時》河川氾濫時は友生支援学校へ避難すること
2810100017,28101,友生支援学校住吉分校,神戸市東灘区住吉東町4-1-58,135.2655489,34.7170611,200,26,078-851-0630,土砂災害：○，洪水：○，津波：○
2810100018,28101,住之江公民館,神戸市東灘区住吉宮町2-2-3,135.2636564,34.7139751,200,26,078-822-1300,土砂災害：○，洪水：×，津波：○ 《洪水時》河川氾濫時は友生支援学校へ避難すること
2810100019,28101,住之江公民館別館,神戸市東灘区住吉宮町2-1-3,135.2646774,34.7143023,200,26,078-822-1300,土砂災害：○，洪水：×，津波：○ 《洪水時》河川氾濫時は友生支援学校へ避難すること
2810100020,28101,呉田会館,神戸市東灘区住吉南町4-6-23,135.2624866,34.7107873,200,26,078-841-4060,土砂災害：○，洪水：○，津波：○
2810100021,28101,御影小学校,神戸市東灘区御影石町3-1-1,135.2515083,34.7148111,300,39,078-851-3673,土砂災害：○，洪水：○，津波：○
2810100022,28101,御影高校,神戸市東灘区御影石町4-1-1,135.250575,34.7169608,700,91,078-841-1501,土砂災害：○，洪水：○，津波：○
2810100023,28101,御影公会堂,神戸市東灘区御影石町4-4-1,135.2492512,34.7160708,200,26,078-841-2281,土砂災害：○，洪水：○，津波：○
2810100024,28101,御影北小学校,神戸市東灘区御影山手1-12-1,135.2488056,34.7246294,300,39,078-851-6809,土砂災害：○，洪水：○，津波：○
2810100025,28101,頌栄短期大学,神戸市東灘区御影山手1-18-1,135.2491389,34.7274431,200,26,078-842-2541,土砂災害：△，洪水：○，津波：○ 《土砂災害時》正門が土砂災害警戒区域内にあるので注意が必要。夜間及び土日祝日は避難勧告時に開設。
2810100026,28101,渦が森小学校,神戸市東灘区渦森台1-12-1,135.2503494,34.7389833,300,39,078-851-3185,土砂災害：○，洪水：○，津波：○
2810100027,28101,同朋住吉台こども園,神戸市東灘区住吉台25-7,135.2567989,34.7386169,200,26,078-846-6011,土砂災害：○，洪水：○，津波：○
2810100028,28101,六甲アイランド小学校,神戸市東灘区向洋町中2-7,135.2744986,34.6888558,300,39,078-857-3121,土砂災害：－，洪水：－，津波：○
2810100029,28101,向洋中学校,神戸市東灘区向洋町中2,135.2740625,34.6899361,500,65,078-857-2481,土砂災害：－，洪水：－，津波：○
2810100030,28101,六甲アイランド高校,神戸市東灘区向洋町中4-4,135.2714269,34.6848339,700,91,078-858-4000,土砂災害：－，洪水：－，津波：○
2810100031,28101,福池小学校,神戸市東灘区本山南町4-4-28,135.2787669,34.7212831,300,39,078-452-5595,土砂災害：○，洪水：○，津波：○
2810100032,28101,本山南小学校,神戸市東灘区本山南町8-2-1,135.2824636,34.7235717,300,39,078-452-0071,土砂災害：○，洪水：○，津波：○
2810100033,28101,神戸大学白鴎寮,神戸市東灘区本山南町1-4-50,135.2876408,34.7235202,200,26,078-431-6231,土砂災害：○，洪水：○，津波：○
2810100034,28101,向洋小学校,神戸市東灘区向洋町中6,135.2644942,34.6876808,300,39,078-857-2450,土砂災害：－，洪水：－，津波：○
2810100035,28101,甲南小学校,神戸市東灘区住吉本町1-12-1,135.2639961,34.7222717,300,39,078-841-1201,土砂災害：○，洪水：○，津波：○
2810100036,28101,神大附属中等教育学校,神戸市東灘区住吉山手5-11-1,135.2544994,34.7320231,200,26,078-811-0232,土砂災害：○，洪水：○，津波：○
2810100037,28101,本山南中学校,神戸市東灘区田中町4-12-1,135.2705342,34.7231161,500,65,078-412-2033,土砂災害：○，洪水：○，津波：○
2810100038,28101,住吉中学校,神戸市東灘区住吉山手1-11-1,135.2587214,34.7258628,500,65,078-851-3752,土砂災害：○，洪水：○，津波：○
2810100039,28101,御影中学校,神戸市東灘区御影中町5-1-1,135.2535331,34.7159417,500,65,078-841-2541,土砂災害：○，洪水：○，津波：○
2810100040,28101,魚崎中学校,神戸市東灘区魚崎南町1-2-1,135.2790506,34.71312,500,65,078-411-1631,土砂災害：○，洪水：○，津波：× 《津波時》国道2号より山側へ避難すること
2810100041,28101,東灘体育館,神戸市東灘区魚崎南町6-5-11,135.278116,34.714666,200,26,078-452-9279,土砂災害：○，洪水：○，津波：× 《津波時》国道2号より山側へ避難すること
2810200042,28102,鶴甲小学校,神戸市灘区鶴甲2-10-1,135.2363925,34.7335836,300,39,078-821-0444,土砂災害：△，洪水：○，津波：○ 《土砂災害時》正門が土砂災害警戒区域内にあるので注意、西門を利用すること
2810200043,28102,神戸大学農学部,神戸市灘区六甲台町1-1,135.233272,34.72464,200,26,078-803-5921(昼)、078-803-5777(夜),土砂災害：○，洪水：○，津波：○
2810200044,28102,神戸大学工学部,神戸市灘区六甲台町1-1,135.237488,34.726994,200,26,078-803-6333(昼)、078-803-6361(夜),土砂災害：○，洪水：○，津波：○
2810200045,28102,神戸大学発達科学部,神戸市灘区鶴甲３-11,135.234484,34.734609,200,26,078-803-7905(昼)、078-803-7941(夜),土砂災害：○，洪水：○，津波：○
2810200046,28102,神戸松蔭女子学院大学,神戸市灘区篠原伯母野山町1-2-1,135.2295239,34.72736,200,26,078-882-6121,土砂災害：○，洪水：○，津波：○
2810200047,28102,成徳小学校,神戸市灘区備後町1-3-1,135.2422119,34.7156136,300,39,078-821-1001,土砂災害：○，洪水：○，津波：○
2810200048,28102,高羽小学校,神戸市灘区高羽町3-11-11,135.2394699,34.7232671,300,39,078-841-0541,土砂災害：○，洪水：○，津波：○
2810200049,28102,親和女子高等学校・親和中学校,神戸市灘区土山町6-1,135.242026,34.726756,500,65,078-854-3800,土砂災害：○，洪水：○，津波：○
2810200050,28102,西郷小学校,神戸市灘区大石東町6-2-1,135.232752,34.7069712,300,39,078-861-2888,土砂災害：○，洪水：○，津波：○
2810200051,28102,六甲小学校,神戸市灘区八幡町4-4-1,135.2333847,34.7176856,300,39,078-881-1071,土砂災害：○，洪水：○，津波：○
2810200052,28102,福住小学校,神戸市灘区福住通7-1-1,135.2184924,34.7131542,300,39,078-861-2424,土砂災害：△，洪水：○，津波：○ 《土砂災害時》土砂災害警戒区域外（稗田小学校・王子スポーツセンター）へ避難すること。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可
2810200053,28102,神戸高校,神戸市灘区城の下通1-5-1,135.2139531,34.7183517,700,91,078-861-0434,土砂災害：○，洪水：○，津波：○
2810200054,28102,王子スポーツセンター,神戸市灘区青谷町1-1-1,135.2127184,34.7112438,200,26,078-802-0223,土砂災害：○，洪水：○，津波：○
