"種別","名称","住所","x座標","y座標"
"指定緊急避難場所（緊急時の避難場所）","宮区民総合センター","家島町宮1049","134.5342447","34.67586906"
"指定緊急避難場所（緊急時の避難場所）","宮区民会館","家島町宮1055","134.5340085","34.67560014"
"指定緊急避難場所（緊急時の避難場所）","宮防災会館","家島町宮1631-2","134.5311873","34.67268774"
"指定緊急避難場所（緊急時の避難場所）","姫路市立家島宮老人の家","家島町宮1443","134.5361901","34.67151272"
"指定緊急避難場所（緊急時の避難場所）","兵庫県立家島高等学校","家島町宮1759-1","134.5294477","34.66906725"
"指定緊急避難場所（緊急時の避難場所）","姫路市立家島中学校","家島町宮1877-2","134.5305507","34.66854919"
"指定緊急避難場所（緊急時の避難場所）","姫路市立家島男鹿老人の家","家島町宮2165-11","134.582693","34.66916047"
"指定緊急避難場所（緊急時の避難場所）","家島保健福祉サービスセンター","家島町宮2169","134.5304189","34.67368063"
"指定緊急避難場所（緊急時の避難場所）","家島B＆G海洋センター","家島町真浦1732-73","134.5197926","34.66956721"
"指定緊急避難場所（緊急時の避難場所）","家島老人福祉センター","家島町真浦1769","134.5224978","34.66938322"
"指定緊急避難場所（緊急時の避難場所）","家島公民館","家島町真浦2137-1","134.5320604","34.6756557"
"指定緊急避難場所（緊急時の避難場所）","姫路市立家島小学校","家島町真浦2141","134.5308653","34.67460299"
"指定緊急避難場所（緊急時の避難場所）","姫路市立家島幼稚園","家島町真浦2152","134.5296773","34.67443682"
"指定緊急避難場所（緊急時の避難場所）","真浦区民会館","家島町真浦2379","134.5273447","34.6772119"
"指定緊急避難場所（緊急時の避難場所）","真浦区民総合センター","家島町真浦571","134.5271381","34.67773036"
"指定緊急避難場所（緊急時の避難場所）","坊勢青年会館","家島町坊勢143","134.514922","34.65432305"
"指定緊急避難場所（緊急時の避難場所）","家島群島開発総合センター","家島町坊勢186","134.5170615","34.65558938"
"指定緊急避難場所（緊急時の避難場所）","姫路市立坊勢幼稚園","家島町坊勢303-3","134.5156011","34.65318023"
"指定緊急避難場所（緊急時の避難場所）","姫路市立坊勢小学校","家島町坊勢415-1","134.5146194","34.65262343"
"指定緊急避難場所（緊急時の避難場所）","姫路市立坊勢中学校","家島町坊勢430-１","134.5141635","34.65146248"
"指定緊急避難場所（緊急時の避難場所）","坊勢スポーツセンター","家島町坊勢700-24","134.5177328","34.65144126"
"指定緊急避難場所（緊急時の避難場所）","姫路市立置塩小学校","夢前町宮置235","134.673751","34.91190282"
"指定緊急避難場所（緊急時の避難場所）","置塩公民館","夢前町宮置292-2","134.6750758","34.91134761"
"指定緊急避難場所（緊急時の避難場所）","姫路市立菅野中学校","夢前町護持29-1","134.6389397","34.94114542"
"指定緊急避難場所（緊急時の避難場所）","姫路市立上菅小学校","夢前町護持381-2","134.6341433","34.94264974"
"指定緊急避難場所（緊急時の避難場所）","（旧）山之内小学校","夢前町山之内甲619","134.6690934","35.02993185"
"指定緊急避難場所（緊急時の避難場所）","菅生公民館","夢前町菅生澗1384-1","134.6358192","34.92310489"
"指定緊急避難場所（緊急時の避難場所）","姫路市立菅生小学校","夢前町菅生澗802-1","134.6421635","34.91668456"
"指定緊急避難場所（緊急時の避難場所）","姫路市立前之庄小学校","夢前町前之庄2838-1","134.6811185","34.97269875"
"指定緊急避難場所（緊急時の避難場所）","姫路市立鹿谷中学校","夢前町前之庄2860","134.682296","34.97212461"
"指定緊急避難場所（緊急時の避難場所）","豊岡総合センター","夢前町前之庄4353-5","134.6739972","34.97035009"
"指定緊急避難場所（緊急時の避難場所）","兵庫県立夢前高等学校","夢前町前之庄643","134.6855731","34.96143593"
"指定緊急避難場所（緊急時の避難場所）","古知公民館","夢前町古知之庄318","134.6839462","34.94505076"
"指定緊急避難場所（緊急時の避難場所）","姫路市立古知小学校","夢前町古知之庄401-1","134.6780274","34.94644384"
"指定緊急避難場所（緊急時の避難場所）","上菅公民館","夢前町塚本225-1","134.6383077","34.93295103"
"指定緊急避難場所（緊急時の避難場所）","姫路市立置塩中学校","夢前町又坂50","134.6736527","34.9275846"
"指定緊急避難場所（緊急時の避難場所）","姫路市立莇野小学校","夢前町莇野299-2","134.6326917","34.9764185"
"指定緊急避難場所（緊急時の避難場所）","莇野公民館","夢前町莇野326-3","134.6311226","34.97753444"
"指定緊急避難場所（緊急時の避難場所）","姫路市立香寺中学校","香寺町岩部293","134.7364429","34.91887352"
"指定緊急避難場所（緊急時の避難場所）","犬飼公民館","香寺町犬飼464-1","134.7349451","34.90155404"
"指定緊急避難場所（緊急時の避難場所）","広瀬ふれあい会館","香寺町広瀬42-1","134.7400113","34.91041486"
"指定緊急避難場所（緊急時の避難場所）","姫路市休養センター「香寺荘」","香寺町恒屋1470","134.7124634","34.94583533"
"指定緊急避難場所（緊急時の避難場所）","北恒屋公民館","香寺町恒屋1551-1","134.7185227","34.94212084"
"指定緊急避難場所（緊急時の避難場所）","太子丘公園","香寺町溝口484-1外","134.741658","34.92794774"
"指定緊急避難場所（緊急時の避難場所）","姫路市立香寺総合公園スポーツセンター","香寺町行重335","134.7298246","34.92524774"
"指定緊急避難場所（緊急時の避難場所）","姫路市立香呂小学校","香寺町香呂626","134.7306425","34.91175325"
"指定緊急避難場所（緊急時の避難場所）","姫路市立香呂南小学校","香寺町須加院173","134.7263314","34.89450294"
"指定緊急避難場所（緊急時の避難場所）","香寺北公民館","香寺町中寺121-1","134.7316854","34.93083401"
"指定緊急避難場所（緊急時の避難場所）","姫路市立中寺小学校","香寺町中寺231","134.7298355","34.9318303"
"指定緊急避難場所（緊急時の避難場所）","香寺公民館","香寺町土師396","134.7292316","34.92658589"
